RE_Locus	A549	Ag04450	Bj	Gm12878	H1hesc	Helas3	Hepg2	Hmec	Hsmm	Huvec	K562	Mcf7	Nhek	Nhlf	Sknshra
chr21:16250023-16250401	0.0000	0.0000	0.0000	14.2891	0.2034	0.1505	7.4013	0.2144	0.2570	6.2867	0.1801	0.0000	0.2630	0.1268	0.0000
chr21:16250310-16250480	0.0000	0.0000	0.0000	2.0795	0.2885	0.2135	0.4721	0.3040	0.3645	6.2867	0.2554	0.0000	0.3731	0.1798	0.0000
chr21:16251253-16251792	0.0000	0.0000	0.0000	2.0795	0.1397	0.1034	13.6566	0.1473	0.1765	10.1102	0.1237	0.0000	0.1807	0.0871	0.0000
chr21:16431216-16431755	0.0000	0.0000	0.0000	14.4987	0.1779	4.7627	35.2165	38.3647	48.8369	12.1614	15.8963	0.0000	14.3303	18.0924	0.0000
chr21:16512777-16513316	0.0000	0.0000	0.0000	0.1287	0.2039	0.1316	10.1931	0.1875	0.2248	0.2155	0.1575	0.0000	0.2301	0.1109	0.0000
chr21:16564473-16565012	0.0000	0.0000	0.0000	0.1826	0.2522	0.1509	0.6696	0.2149	0.2576	0.3057	0.1805	0.0000	0.2637	0.1271	0.0000
chr21:16582513-16582944	0.0000	0.0000	0.0000	1.6037	0.1906	4.7057	15.6763	0.2657	0.3185	0.1480	0.2232	0.0000	0.3260	0.1571	0.0000
chr21:16583782-16584321	0.0000	0.0000	0.0000	1.6037	0.2004	0.1866	15.6763	0.2008	0.2407	0.1885	0.1687	0.0000	0.2464	0.1188	0.0000
chr21:16594148-16594487	0.0000	0.0000	0.0000	1.6037	0.1754	0.1410	11.4816	0.2111	0.2531	0.2160	0.1773	0.0000	0.2591	1.7410	0.0000
chr21:16594330-16594869	0.0000	0.0000	0.0000	1.6037	0.1454	0.1482	11.4816	0.1849	0.2216	0.2671	0.1553	0.0000	11.1548	1.7410	0.0000
chr21:16596680-16596983	0.0000	0.0000	0.0000	0.0884	0.2151	0.1298	0.3243	0.1533	0.1837	0.2019	0.1287	0.0000	16.1503	1.7410	0.0000
chr21:16814984-16815523	0.0000	0.0000	0.0000	1.1704	0.1506	0.1076	16.3526	0.2267	0.2718	0.2122	0.1904	0.0000	0.2268	0.1249	0.0000
chr21:16816380-16817396	0.0000	0.0000	0.0000	1.1704	4.5981	0.1592	16.3526	0.1587	0.1903	0.1859	0.1333	0.0000	0.1881	0.1093	0.0000
chr21:17031987-17032526	0.0000	0.0000	0.0000	0.1126	0.1177	0.1114	12.9686	0.1240	0.1487	0.1541	0.1042	0.0000	0.2782	0.0906	0.0000
chr21:17126872-17127411	0.0000	0.0000	0.0000	1.6024	4.3161	0.0871	6.5036	0.1858	0.2227	5.1320	5.5463	0.0000	6.4330	1.6726	0.0000
