RE_Locus	A549	Ag04450	Bj	Gm12878	H1hesc	Helas3	Hepg2	Hmec	Hsmm	Huvec	K562	Mcf7	Nhek	Nhlf	Sknshra
chr21:16250023-16250401	0.0000	0.0000	0.0000	14.2891	0.0000	0.0000	7.4013	0.0000	0.0000	6.2867	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16250310-16250480	0.0000	0.0000	0.0000	2.0795	0.0000	0.0000	0.0000	0.0000	0.0000	6.2867	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16251253-16251792	0.0000	0.0000	0.0000	2.0795	0.0000	0.0000	13.6566	0.0000	0.0000	10.1102	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16431216-16431755	0.0000	0.0000	0.0000	14.4987	0.0000	4.7627	35.2165	38.3647	48.8369	12.1614	15.8963	0.0000	14.3303	18.0924	0.0000
chr21:16512777-16513316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.1931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16564473-16565012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16582513-16582944	0.0000	0.0000	0.0000	1.6037	0.0000	4.7057	15.6763	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16583782-16584321	0.0000	0.0000	0.0000	1.6037	0.0000	0.0000	15.6763	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16594148-16594487	0.0000	0.0000	0.0000	1.6037	0.0000	0.0000	11.4816	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7410	0.0000
chr21:16594330-16594869	0.0000	0.0000	0.0000	1.6037	0.0000	0.0000	11.4816	0.0000	0.0000	0.0000	0.0000	0.0000	11.1548	1.7410	0.0000
chr21:16596680-16596983	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.1503	1.7410	0.0000
chr21:16814984-16815523	0.0000	0.0000	0.0000	1.1704	0.0000	0.0000	16.3526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16816380-16817396	0.0000	0.0000	0.0000	1.1704	4.5981	0.0000	16.3526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17031987-17032526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.9686	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17126872-17127411	0.0000	0.0000	0.0000	1.6024	4.3161	0.0000	6.5036	0.0000	0.0000	5.1320	5.5463	0.0000	6.4330	1.6726	0.0000
chr21:17452070-17452609	0.0000	0.0000	0.0000	0.0000	0.0000	11.8816	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17496647-17497186	0.0000	0.0000	0.0000	0.0000	0.0000	11.2612	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.4881	0.0000	0.0000
chr21:17542064-17542603	0.0000	0.0000	0.0000	0.0000	0.0000	10.0041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17552087-17552431	0.0000	0.0000	0.0000	0.0000	0.0000	8.1982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17566158-17566697	0.0000	0.0000	0.0000	8.9574	0.0000	30.4133	0.0000	9.3947	10.7348	43.9912	0.0000	0.0000	0.0000	9.1221	0.0000
chr21:17613837-17614376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.9401	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17936130-17936429	0.0000	0.0000	0.0000	0.0000	0.0000	11.5812	0.0000	9.6611	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:18375469-18376008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.2110	0.0000
chr21:18899437-18899976	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.6395	0.0000	0.0000	31.4219	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:27512409-27512948	0.0000	0.0000	0.0000	0.0000	0.0000	4.5265	0.0000	5.0893	3.7283	5.3594	0.0000	0.0000	0.0000	1.6975	0.0000
chr21:27539128-27539667	0.0000	0.0000	0.0000	10.9388	27.9511	34.0467	30.7020	45.2923	70.3798	52.7796	0.0000	0.0000	26.7137	28.3406	0.0000
chr21:33805255-33805794	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:33814787-33815326	0.0000	0.0000	0.0000	0.0000	0.0000	6.7502	0.0000	0.0000	0.0000	5.7660	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:33829738-33830277	0.0000	0.0000	0.0000	0.0000	0.0000	10.2509	16.1442	0.0000	0.0000	3.9501	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:33836208-33836567	0.0000	0.0000	0.0000	0.0000	0.0000	12.1319	0.0000	3.5247	26.9334	10.5170	0.0000	0.0000	0.0000	20.4362	0.0000
chr21:34144082-34144621	0.0000	0.0000	0.0000	5.4828	25.0876	23.9872	35.7923	42.5780	39.5877	49.4589	24.1328	0.0000	30.8072	23.4976	0.0000
chr21:34576102-34576641	0.0000	0.0000	0.0000	2.9593	0.0000	4.7411	14.7658	0.0000	5.9579	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:34576304-34576843	0.0000	0.0000	0.0000	2.9593	0.0000	4.7411	14.7658	0.0000	5.9579	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:34659331-34659870	0.0000	0.0000	0.0000	0.0000	0.0000	19.8840	26.7128	0.0000	0.0000	0.0000	0.0000	0.0000	17.5712	13.1252	0.0000
chr21:34790034-34790174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:35055563-35056102	0.0000	0.0000	0.0000	0.0000	0.0000	18.5695	0.0000	5.5772	4.2391	13.6854	2.0093	0.0000	10.3172	4.5834	0.0000
chr21:35133809-35134348	0.0000	0.0000	0.0000	0.0000	0.0000	7.5093	0.0000	0.0000	4.1205	19.7354	10.5479	0.0000	3.9953	26.0423	0.0000
chr21:35574170-35574709	0.0000	0.0000	0.0000	5.5143	14.7000	4.8613	30.2254	12.5418	12.2796	13.6979	10.6447	0.0000	8.5907	10.3135	0.0000
chr21:35898945-35899484	0.0000	0.0000	0.0000	13.3165	2.3781	13.1391	19.1934	20.1923	18.1764	35.1242	0.0000	0.0000	28.6719	8.5944	0.0000
chr21:36167773-36168312	0.0000	0.0000	0.0000	0.0000	0.0000	4.4642	13.0920	0.0000	4.4505	0.0000	0.0000	0.0000	3.1581	0.0000	0.0000
chr21:36179700-36180239	0.0000	0.0000	0.0000	1.5999	0.0000	2.7540	0.0000	3.5657	2.7441	5.3391	0.0000	0.0000	44.0979	0.0000	0.0000
chr21:36184660-36185199	0.0000	0.0000	0.0000	1.5999	0.0000	2.7540	0.0000	0.0000	2.7441	0.0000	0.0000	0.0000	3.1581	0.0000	0.0000
chr21:36208425-36208675	0.0000	0.0000	0.0000	0.0000	0.0000	15.4170	10.7120	0.0000	7.8709	8.7961	0.0000	0.0000	0.0000	11.2044	0.0000
chr21:36250862-36251096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.9298	0.0000	0.0000	4.2856	0.0000	26.1027	38.3598	0.0000
chr21:36254016-36254555	0.0000	0.0000	0.0000	12.2095	0.0000	29.6043	0.0000	56.9298	39.7307	48.4039	4.2856	0.0000	26.1027	38.3598	0.0000
chr21:37802300-37802839	0.0000	0.0000	0.0000	7.7286	4.5745	12.5152	12.1801	21.3749	11.7251	42.3626	12.4312	0.0000	10.8071	0.0000	0.0000
chr21:37810040-37810579	0.0000	0.0000	0.0000	0.0000	0.0000	2.7235	0.0000	0.0000	0.0000	14.4221	15.6375	0.0000	0.0000	0.0000	0.0000
chr21:37843648-37843921	0.0000	0.0000	0.0000	4.5628	0.0000	4.7860	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:37850516-37850820	0.0000	0.0000	0.0000	5.1094	0.0000	4.9786	60.7684	0.0000	6.9995	9.1899	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:38230668-38230968	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.6131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:38255995-38256567	0.0000	0.0000	0.0000	0.0000	0.0000	4.8568	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:38282034-38282644	0.0000	0.0000	0.0000	0.0000	0.0000	5.1283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:38282896-38283232	0.0000	0.0000	0.0000	0.0000	0.0000	5.1283	0.0000	0.0000	15.8682	0.0000	0.0000	0.0000	0.0000	10.4168	0.0000
chr21:38299551-38300090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.4689	0.0000
chr21:38936549-38937088	0.0000	0.0000	0.0000	15.9227	6.9172	17.4958	15.7104	19.5728	38.3920	18.5180	20.6988	0.0000	25.6354	12.6129	0.0000
chr21:39355951-39356490	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:39414514-39415053	0.0000	0.0000	0.0000	0.0000	0.0000	1.3682	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
