Gene_ID	Gene_Name	TSS_ID	TSS_Locus	Strand	Max_Expr	RE_Locus	Max_Hist	Distance	Closest_Locus	Closest_TSS	Histone	Correlation	Correlation_P_Value	Distance_P_Value	CnD_P_Value	Q_Value
ENSG00000166979.8	C21orf63	ENST00000401402.3	chr21:33784993-33784993	+	18.42	chr21:33814787-33815326	6.75	29794	F	F	H3k27ac	0.96507702	5.244e-04	6.009e-02	3.581e-04	2.643e-01
ENSG00000166979.8	C21orf63	ENST00000382699.3	chr21:33785010-33785010	+	19.55	chr21:33814787-33815326	6.75	29777	F	F	H3k27ac	0.96134108	6.612e-04	6.006e-02	4.421e-04	2.643e-01
ENSG00000160209.12	PDXK	ENST00000291565.4	chr21:45138993-45138993	+	92.62	chr21:44860419-44861441	21.06	-277552	F	F	H3k27ac	0.94474358	9.348e-04	5.556e-01	4.447e-03	4.649e-01
ENSG00000160209.12	PDXK	ENST00000398081.1	chr21:45138975-45138975	+	91.48	chr21:44860419-44861441	21.06	-277534	F	F	H3k27ac	0.94402238	9.462e-04	5.555e-01	4.495e-03	4.649e-01
ENSG00000160209.12	PDXK	ENST00000468090.1	chr21:45138978-45138978	+	91.51	chr21:44860419-44861441	21.06	-277537	F	F	H3k27ac	0.94312938	9.918e-04	5.555e-01	4.685e-03	4.787e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44832116-44832655	24.82	14353	F	T	H3k27ac	0.93844236	1.083e-03	2.923e-02	3.596e-04	2.643e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44839299-44839838	33.68	7170	F	T	H3k27ac	0.93853652	1.083e-03	1.487e-02	1.938e-04	2.643e-01
ENSG00000157551.11	KCNJ15	ENST00000398934.1	chr21:39644429-39644429	+	5.82	chr21:39355951-39356490	0.00	-287939	F	F	H3k27ac	0.92702022	1.231e-03	5.761e-01	5.853e-03	5.255e-01
ENSG00000159200.12	RCAN1	ENST00000481448.1	chr21:35899148-35899148	-	527.54	chr21:36184660-36185199	3.16	-285512	F	F	H3k27ac	0.92706298	1.231e-03	5.713e-01	5.809e-03	5.255e-01
ENSG00000160216.11	AGPAT3	ENST00000448287.1	chr21:45287123-45287123	+	16.73	chr21:44884987-44885252	2.93	-401871	F	F	H3k27ac	0.92141849	1.368e-03	8.038e-01	8.591e-03	6.245e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44764160-44764667	7.42	82341	F	F	H3k27ac	0.91844625	1.391e-03	1.651e-01	2.154e-03	3.681e-01
ENSG00000173638.12	SLC19A1	ENST00000380014.2	chr21:46962351-46962351	-	27.06	chr21:46739403-46739942	9.02	222409	F	F	H3k27ac	0.91655306	1.425e-03	4.451e-01	5.304e-03	5.070e-01
ENSG00000173638.12	SLC19A1	ENST00000380010.4	chr21:46962385-46962385	-	26.00	chr21:46739403-46739942	9.02	222443	F	F	H3k27ac	0.91552403	1.516e-03	4.452e-01	5.603e-03	5.255e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45010043-45010582	2.39	-198864	F	F	H3k27ac	-0.91282545	1.721e-03	3.981e-01	5.677e-03	5.255e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45010043-45010582	2.39	-198875	F	F	H3k27ac	-0.91106587	1.767e-03	3.981e-01	5.810e-03	5.255e-01
ENSG00000230479.1	AP000695.6	ENST00000429588.1	chr21:37802658-37802658	+	57.14	chr21:37802300-37802839	42.36	0	T	T	H3k4me3	0.86729307	1.839e-03	2.123e-01	3.455e-03	4.150e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45011428-45011967	4.34	-197479	F	F	H3k27ac	-0.90623270	1.870e-03	3.953e-01	6.067e-03	5.304e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:45066431-45066634	21.17	-82147	F	F	H3k27ac	-0.90506349	1.915e-03	1.645e-01	2.855e-03	4.007e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:45059582-45060121	4.18	-212574	F	F	H3k27ac	0.90465973	1.938e-03	4.255e-01	6.679e-03	5.497e-01
ENSG00000160209.12	PDXK	ENST00000463355.1	chr21:45139028-45139028	+	116.89	chr21:44860419-44861441	21.06	-277587	F	F	H3k27ac	0.90457205	1.938e-03	5.556e-01	8.435e-03	6.245e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:45066431-45066634	21.17	-82160	F	F	H3k27ac	-0.90440433	1.938e-03	1.645e-01	2.885e-03	4.007e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:45066431-45066634	21.17	-82164	F	F	H3k27ac	-0.90441985	1.938e-03	1.645e-01	2.885e-03	4.007e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45011428-45011967	4.34	-197490	F	F	H3k27ac	-0.90431960	1.949e-03	3.953e-01	6.294e-03	5.380e-01
ENSG00000197381.9	ADARB1	ENST00000437626.1	chr21:46494515-46494515	+	14.50	chr21:46470640-46471179	10.42	-23336	F	F	H3k27ac	0.90411693	1.961e-03	4.719e-02	9.519e-04	2.801e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44917912-44918451	14.10	-70904	F	F	H3k27ac	0.90352134	1.984e-03	1.423e-01	2.589e-03	3.772e-01
ENSG00000154639.14	CXADR	ENST00000400166.1	chr21:18885364-18885364	+	436.76	chr21:18899437-18899976	31.42	14073	T	F	H3k27ac	0.90003762	2.132e-03	2.867e-02	6.541e-04	2.643e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45029623-45029781	17.91	-179665	F	F	H3k27ac	-0.89419658	2.280e-03	3.594e-01	6.643e-03	5.497e-01
ENSG00000166979.8	C21orf63	ENST00000481638.1	chr21:33785072-33785072	+	6.31	chr21:33814787-33815326	6.75	29715	F	F	H3k27ac	0.89337342	2.326e-03	5.994e-02	1.377e-03	3.339e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45029623-45029781	17.91	-179676	F	F	H3k27ac	-0.89220328	2.371e-03	3.595e-01	6.876e-03	5.607e-01
ENSG00000197381.9	ADARB1	ENST00000539917.1	chr21:46494493-46494493	+	14.73	chr21:46470640-46471179	10.42	-23314	F	F	H3k27ac	0.89096984	2.417e-03	4.714e-02	1.148e-03	3.093e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44832116-44832655	24.82	-14353	F	T	H3k4me3	0.84048653	2.452e-03	1.000e+00	1.719e-02	7.523e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44835567-44836106	33.68	-10902	F	T	H3k4me3	0.85839615	2.452e-03	1.000e+00	1.719e-02	7.523e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44848098-44848369	33.68	1090	F	T	H3k4me3	0.78677975	2.452e-03	1.000e+00	1.719e-02	7.523e-01
ENSG00000197381.9	ADARB1	ENST00000462214.1	chr21:46493768-46493768	+	7.71	chr21:46470640-46471179	10.42	22589	F	T	H3k4me3	0.81886558	2.452e-03	1.000e+00	1.719e-02	7.523e-01
ENSG00000197381.9	ADARB1	ENST00000462214.1	chr21:46493768-46493768	+	7.71	chr21:46470870-46471409	10.42	22359	T	T	H3k4me3	0.82996462	2.452e-03	1.000e+00	1.719e-02	7.523e-01
ENSG00000159200.12	RCAN1	ENST00000481448.1	chr21:35899148-35899148	-	527.54	chr21:35898945-35899484	35.12	0	T	T	H3k4me3	0.80451813	2.452e-03	2.123e-01	4.457e-03	4.649e-01
ENSG00000160221.10	C21orf33	ENST00000348499.5	chr21:45553562-45553562	+	40.27	chr21:45066431-45066634	21.17	-486928	F	F	H3k27ac	-0.88893710	2.531e-03	9.739e-01	1.727e-02	7.523e-01
ENSG00000184809.8	C21orf88	ENST00000329618.6	chr21:40984748-40984748	-	12.05	chr21:40685346-40685885	38.40	298863	F	F	H3k27ac	-0.88670497	2.679e-03	5.979e-01	1.191e-02	7.358e-01
ENSG00000205581.6	HMGN1	ENST00000485550.1	chr21:40720523-40720523	-	32.24	chr21:40685346-40685885	38.40	34638	T	F	H3k27ac	-0.88327849	2.884e-03	6.978e-02	1.914e-03	3.472e-01
ENSG00000173638.12	SLC19A1	ENST00000380014.2	chr21:46962351-46962351	-	27.06	chr21:46785643-46786182	37.12	176169	F	F	H3k27ac	0.88109909	3.010e-03	3.527e-01	8.330e-03	6.245e-01
