RE_Locus	A549	Ag04450	Bj	Gm12878	H1hesc	Helas3	Hepg2	Hmec	Hsmm	Huvec	K562	Mcf7	Nhek	Nhlf	Sknshra
chr21:16250023-16250401	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.8703	0.0000	0.0000	12.4132	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16250310-16250480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.8703	0.0000	0.0000	12.4132	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16251253-16251792	0.0000	0.0000	0.0000	7.8538	0.0000	0.0000	63.8703	0.0000	0.0000	12.4132	0.0000	0.0000	6.4747	0.0000	0.0000
chr21:16431216-16431755	0.0000	0.0000	0.0000	17.9113	1.6727	0.0000	47.1463	16.1142	15.3120	0.0000	16.4383	0.0000	0.0000	13.9149	0.0000
chr21:16512777-16513316	0.0000	0.0000	0.0000	0.0000	1.5377	0.0000	50.0328	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16564473-16565012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16582513-16582944	0.0000	0.0000	0.0000	0.0000	0.0000	5.9582	32.0906	7.8509	0.0000	0.0000	8.0446	0.0000	7.0753	0.0000	0.0000
chr21:16583782-16584321	0.0000	0.0000	0.0000	0.0000	0.0000	5.9582	32.0906	0.0000	0.0000	0.0000	0.0000	0.0000	7.0753	0.0000	0.0000
chr21:16594148-16594487	0.0000	0.0000	0.0000	0.0000	0.0000	6.1892	12.3746	25.8692	0.0000	0.0000	0.0000	0.0000	25.9346	6.4317	0.0000
chr21:16594330-16594869	0.0000	0.0000	0.0000	0.0000	0.0000	6.1892	12.3746	25.8692	4.4955	0.0000	0.0000	0.0000	25.9346	6.4317	0.0000
chr21:16596680-16596983	0.0000	0.0000	0.0000	0.0000	0.0000	6.1892	0.0000	25.8692	7.5217	0.0000	0.0000	0.0000	25.9346	6.4317	0.0000
chr21:16814984-16815523	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.4452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:16816380-16817396	0.0000	0.0000	0.0000	6.7725	4.7478	10.4313	50.4452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17031987-17032526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17126872-17127411	0.0000	0.0000	0.0000	0.0000	2.5967	0.0000	23.4515	4.1544	0.0000	6.3365	6.5714	0.0000	4.0099	7.1609	0.0000
chr21:17452070-17452609	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17496647-17497186	0.0000	0.0000	0.0000	0.0000	0.0000	16.3144	0.0000	0.0000	11.5910	0.0000	0.0000	0.0000	13.0168	13.2522	0.0000
chr21:17542064-17542603	0.0000	0.0000	0.0000	0.0000	0.0000	13.7519	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17552087-17552431	0.0000	0.0000	0.0000	0.0000	0.0000	7.8101	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17566158-17566697	0.0000	0.0000	0.0000	13.5211	0.0000	16.7439	0.0000	12.3151	14.8151	26.3488	0.0000	0.0000	0.0000	13.6543	0.0000
chr21:17613837-17614376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.5338	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:17936130-17936429	0.0000	0.0000	0.0000	0.0000	1.6081	19.6309	0.0000	0.0000	11.6049	4.4870	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:18375469-18376008	0.0000	0.0000	0.0000	0.0000	1.5850	0.0000	0.0000	0.0000	12.0967	0.0000	0.0000	0.0000	6.4088	5.2896	0.0000
chr21:18899437-18899976	0.0000	0.0000	0.0000	0.0000	14.7051	7.8231	24.3218	0.0000	0.0000	11.8061	0.0000	0.0000	19.0405	0.0000	0.0000
chr21:27512409-27512948	0.0000	0.0000	0.0000	0.0000	2.5645	6.6235	7.7819	6.4690	14.1108	13.8456	0.0000	0.0000	8.8819	21.8767	0.0000
chr21:27539128-27539667	0.0000	0.0000	0.0000	0.0000	2.5645	15.7041	17.2057	11.8150	0.0000	29.6573	0.0000	0.0000	15.1855	0.0000	0.0000
chr21:33805255-33805794	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.9844	0.0000	0.0000	0.0000	0.0000	0.0000	10.6582	0.0000	0.0000
chr21:33814787-33815326	0.0000	0.0000	0.0000	0.0000	0.0000	21.2143	0.0000	8.2763	0.0000	10.4924	0.0000	0.0000	6.5747	0.0000	0.0000
chr21:33829738-33830277	0.0000	0.0000	0.0000	0.0000	3.5899	21.2745	18.1329	0.0000	0.0000	23.5854	0.0000	0.0000	0.0000	9.1816	0.0000
chr21:33836208-33836567	0.0000	0.0000	0.0000	0.0000	0.0000	21.2745	39.5265	13.5490	14.2431	47.9258	0.0000	0.0000	0.0000	18.5646	0.0000
chr21:34144082-34144621	0.0000	0.0000	0.0000	21.1764	8.6461	20.7425	21.5535	12.1321	9.1057	20.4749	27.1506	0.0000	15.0713	14.3566	0.0000
chr21:34576102-34576641	0.0000	0.0000	0.0000	12.8868	1.8888	6.7044	26.0721	12.9007	13.0143	0.0000	0.0000	0.0000	18.5317	11.5961	0.0000
chr21:34576304-34576843	0.0000	0.0000	0.0000	12.8868	1.8888	6.7044	26.0721	12.9007	13.0143	0.0000	0.0000	0.0000	18.5317	11.5961	0.0000
chr21:34659331-34659870	0.0000	0.0000	0.0000	0.0000	0.0000	22.4684	9.1666	8.8879	18.0390	6.4500	1.9925	0.0000	14.3746	18.6885	0.0000
chr21:34790034-34790174	0.0000	0.0000	0.0000	0.0000	2.0809	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.9245	3.6274	0.0000
chr21:35055563-35056102	0.0000	0.0000	0.0000	0.0000	2.2989	3.8656	0.0000	12.5222	13.3178	26.2963	0.0000	0.0000	27.7697	6.8083	0.0000
chr21:35133809-35134348	0.0000	0.0000	0.0000	0.0000	2.2989	19.9279	23.9011	32.0952	28.2997	60.5422	31.7214	0.0000	6.4769	22.9219	0.0000
chr21:35574170-35574709	0.0000	0.0000	0.0000	0.0000	23.5908	0.0000	77.0364	0.0000	0.0000	0.0000	23.7388	0.0000	0.0000	0.0000	0.0000
chr21:35898945-35899484	0.0000	0.0000	0.0000	17.3984	9.5059	20.0969	30.4577	27.1877	19.5873	36.2720	0.0000	0.0000	21.3621	85.2782	0.0000
chr21:36167773-36168312	0.0000	0.0000	0.0000	0.0000	0.0000	47.0719	25.2163	28.4870	19.5413	0.0000	4.8788	0.0000	39.0619	17.1808	0.0000
chr21:36179700-36180239	0.0000	0.0000	0.0000	11.2349	0.0000	67.0257	7.7995	28.4870	30.5201	118.4547	5.5867	0.0000	39.0619	17.1808	0.0000
chr21:36184660-36185199	0.0000	0.0000	0.0000	0.0000	0.0000	67.0257	58.0542	28.4870	4.7900	44.3261	0.0000	0.0000	39.0619	17.1808	0.0000
chr21:36208425-36208675	0.0000	0.0000	0.0000	0.0000	0.0000	26.9676	103.5625	10.2929	15.1154	21.3911	2.3357	0.0000	0.0000	17.1808	0.0000
chr21:36250862-36251096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.6850	0.0000	39.3763	0.0000	0.0000	37.3531	17.1808	0.0000
chr21:36254016-36254555	0.0000	0.0000	0.0000	9.3552	0.0000	31.1274	24.0971	33.6850	30.2553	39.3763	18.8402	0.0000	37.3531	17.1808	0.0000
chr21:37802300-37802839	0.0000	0.0000	0.0000	16.6043	1.7495	10.7910	0.0000	24.9183	14.2805	58.0229	46.6367	0.0000	18.7876	79.4823	0.0000
chr21:37810040-37810579	0.0000	0.0000	0.0000	0.0000	1.7495	0.0000	0.0000	0.0000	0.0000	9.5636	0.0000	0.0000	4.4662	0.0000	0.0000
chr21:37843648-37843921	0.0000	0.0000	0.0000	16.2360	1.7973	3.7036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.7097	0.0000	0.0000
chr21:37850516-37850820	0.0000	0.0000	0.0000	0.0000	1.7973	0.0000	22.7487	4.3362	25.1942	31.6532	0.0000	0.0000	15.2652	0.0000	0.0000
chr21:38230668-38230968	0.0000	0.0000	0.0000	0.0000	1.5514	38.1164	47.4902	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:38255995-38256567	0.0000	0.0000	0.0000	0.0000	1.6437	4.6653	0.0000	0.0000	7.0499	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
chr21:38282034-38282644	0.0000	0.0000	0.0000	0.0000	0.0000	30.9712	25.1798	19.4622	14.4297	32.9435	0.0000	0.0000	20.0229	31.3936	0.0000
chr21:38282896-38283232	0.0000	0.0000	0.0000	0.0000	0.0000	30.9712	16.9118	19.4622	14.4297	32.9435	0.0000	0.0000	20.0229	31.3936	0.0000
chr21:38299551-38300090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8726	0.0000	0.0000	0.0000	0.0000	17.4120	0.0000
chr21:38936549-38937088	0.0000	0.0000	0.0000	13.9978	2.6026	16.9613	8.6270	27.7527	20.4380	39.1135	30.8158	0.0000	20.2819	46.1684	0.0000
chr21:39355951-39356490	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.8685	0.0000	0.0000
