RE_Locus	A549	Ag04450	Bj	Gm12878	H1hesc	Helas3	Hepg2	Hmec	Hsmm	Huvec	K562	Mcf7	Nhek	Nhlf	Sknshra
chr21:16250023-16250401	0.0000	0.0000	0.0000	0.7450	0.1692	0.3199	63.8703	0.2959	0.4945	12.4132	0.1874	0.0000	0.4081	0.2960	0.0000
chr21:16250310-16250480	0.0000	0.0000	0.0000	1.0567	0.2399	0.4537	63.8703	0.4196	0.7014	12.4132	0.2658	0.0000	0.5788	0.4198	0.0000
chr21:16251253-16251792	0.0000	0.0000	0.0000	7.8538	0.1162	0.2197	63.8703	0.2032	0.3397	12.4132	0.1287	0.0000	6.4747	0.2033	0.0000
chr21:16431216-16431755	0.0000	0.0000	0.0000	17.9113	1.6727	0.2798	47.1463	16.1142	15.3120	0.3896	16.4383	0.0000	0.2803	13.9149	0.0000
chr21:16512777-16513316	0.0000	0.0000	0.0000	0.5118	1.5377	0.3206	50.0328	0.2588	0.4325	0.5525	0.1639	0.0000	0.3569	0.2589	0.0000
chr21:16564473-16565012	0.0000	0.0000	0.0000	0.6516	0.1480	0.3965	0.8560	0.2966	0.4957	0.2676	0.1879	0.0000	0.4090	0.2967	0.0000
chr21:16582513-16582944	0.0000	0.0000	0.0000	0.7468	0.1696	5.9582	32.0906	7.8509	0.6130	0.3407	8.0446	0.0000	7.0753	0.3669	0.0000
chr21:16583782-16584321	0.0000	0.0000	0.0000	0.9235	0.2097	5.9582	32.0906	0.3667	0.4632	0.3905	0.2323	0.0000	7.0753	0.2773	0.0000
chr21:16594148-16594487	0.0000	0.0000	0.0000	0.6978	0.1584	6.1892	12.3746	25.8692	0.4871	0.4829	0.1755	0.0000	25.9346	6.4317	0.0000
chr21:16594330-16594869	0.0000	0.0000	0.0000	0.7337	0.1666	6.1892	12.3746	25.8692	4.4955	0.3649	0.1846	0.0000	25.9346	6.4317	0.0000
chr21:16596680-16596983	0.0000	0.0000	0.0000	0.6425	0.1459	6.1892	1.2141	25.8692	7.5217	0.3837	0.1616	0.0000	25.9346	6.4317	0.0000
chr21:16814984-16815523	0.0000	0.0000	0.0000	0.5326	0.1209	0.2996	50.4452	0.2771	0.4265	0.3360	0.1340	0.0000	0.5058	0.2915	0.0000
chr21:16816380-16817396	0.0000	0.0000	0.0000	6.7725	4.7478	10.4313	50.4452	0.2914	0.3536	0.2785	0.1982	0.0000	0.3823	0.2553	0.0000
chr21:17031987-17032526	0.0000	0.0000	0.0000	0.7879	0.1789	0.3150	0.5881	0.2552	0.5230	0.4120	0.1388	0.0000	0.4019	0.2116	0.0000
chr21:17126872-17127411	0.0000	0.0000	0.0000	0.5516	2.5967	0.2759	23.4515	4.1544	0.3661	6.3365	6.5714	0.0000	4.0099	7.1609	0.0000
chr21:17452070-17452609	0.0000	0.0000	0.0000	0.4310	0.1252	0.2287	0.7487	0.2115	0.2861	0.2884	0.1084	0.0000	0.3519	0.3131	0.0000
chr21:17496647-17497186	0.0000	0.0000	0.0000	0.6456	0.0979	16.3144	0.8581	0.3129	11.5910	0.2254	0.1624	0.0000	13.0168	13.2522	0.0000
chr21:17542064-17542603	0.0000	0.0000	0.0000	0.9260	0.1466	13.7519	1.0611	0.2191	0.4285	0.3376	0.2329	0.0000	0.2918	0.2192	0.0000
chr21:17552087-17552431	0.0000	0.0000	0.0000	0.7413	0.2103	7.8101	0.8019	0.1712	0.6147	0.4842	0.1865	0.0000	0.4316	0.1713	0.0000
chr21:17566158-17566697	0.0000	0.0000	0.0000	13.5211	0.1683	16.7439	0.8431	12.3151	14.8151	26.3488	0.0860	0.0000	0.3021	13.6543	0.0000
chr21:17613837-17614376	0.0000	0.0000	0.0000	0.3419	0.0776	0.3383	0.7383	0.2564	0.4921	17.5338	0.1770	0.0000	0.2361	0.2565	0.0000
